"contrast","metabolite","chow","beta","se","numDF","denDF","F.value","p.value","lowerCL","upperCL","p.adjustBH","sig"
"KO","3-HYDROXYBUTYRIC","White (C7)",-0.256587814524964,0.447654817075571,1,39,0.328537941011537,0.569811724742922,-1.13397513349895,0.620799504449021,0.74323268444729,FALSE
"KO","arginine","White (C7)",-0.0495552879219219,0.438110974078951,1,39,0.0127941590100851,0.910522589800801,-0.908237018348427,0.809126442504584,0.975559917643716,FALSE
"KO","CITRIC","White (C7)",-0.0017554387722484,0.447529966715196,1,39,1.53860496848972e-05,0.996890297445904,-0.878898055536443,0.875387177991946,0.996890297445904,FALSE
"KO","FUMARIC","White (C7)",-0.631498076515401,0.448475805522551,1,39,1.98274118144823,0.167023844611372,-1.51049450327719,0.247498350246387,0.250535766917058,FALSE
"KO","glutamine","White (C7)",-1.30158268010131,0.438309193672534,1,39,8.81824907267252,0.00508080371179241,-2.16065291379227,-0.442512446410354,0.0117249316425979,TRUE
"KO","isoleucine","White (C7)",-0.636078345755325,0.439117583875645,1,39,2.0982612755329,0.155459634839738,-1.49673299512984,0.224576303619185,0.245462581325903,FALSE
"KO","LACTIC","White (C7)",-1.84532648929165,0.43928460791918,1,39,17.6463325512069,0.000149560655393113,-2.70630849977604,-0.984344478807262,0.000407892696526671,TRUE
"KO","LC even AC total","White (C7)",5.08889384303517,0.440272431376267,1,39,133.599181891483,3.62830988889645e-14,4.22597573415181,5.95181195191854,2.50681210113298e-13,TRUE
"KO","LC odd AC total","White (C7)",7.64298033235652,0.438820056096221,1,39,303.355970416874,5.39480333211954e-20,6.78290882671408,8.50305183799895,1.61844099963586e-18,TRUE
"KO","leucine","White (C7)",-0.330390234140431,0.438690806555447,1,39,0.567201456073584,0.45589563940854,-1.19020841533793,0.529427947057072,0.621675871920737,FALSE
"KO","MALIC","White (C7)",-2.70454832603776,0.43837129421132,1,39,38.0631982409371,3.01136109071622e-07,-3.56374027454815,-1.84535637752736,1.00378703023874e-06,TRUE
"KO","MCAC total","White (C7)",1.30858485484646,0.438764886040636,1,39,8.89487913116531,0.0049104387372108,0.44862148052599,2.16854822916693,0.0117249316425979,TRUE
"KO","METHYLSUCCINIC","White (C7)",-1.12022238955718,0.438820860343197,1,39,6.51679362568196,0.0147130775568467,-1.98029547149473,-0.260149307619634,0.0275870204190876,TRUE
"KO","SUCCINIC-2","White (C7)",-3.00797542380488,0.438576226146265,1,39,47.0390340342721,3.3538457714945e-08,-3.86756903152706,-2.14838181608271,1.25769216431044e-07,TRUE
"KO","valine","White (C7)",-0.523951480414699,0.439376417806812,1,39,1.42202966403533,0.240274814449247,-1.38511343497227,0.337210474142876,0.343249734927495,FALSE
"KO","3-HYDROXYBUTYRIC","Yellow (C8)",-0.559105034490347,0.383752154572409,1,39,2.12268305066653,0.153137092296892,-1.31124543644192,0.193035367461222,0.245462581325903,FALSE
"KO","arginine","Yellow (C8)",0.0873149474861877,0.366439107328135,1,39,0.0567771464057034,0.812911834035317,-0.630892505403964,0.80552240037634,0.903235371150352,FALSE
"KO","CITRIC","Yellow (C8)",0.00824476960691446,0.392325155460523,1,39,0.000441636274136376,0.983340728321291,-0.760698405324788,0.777187944538617,0.996890297445904,FALSE
"KO","FUMARIC","Yellow (C8)",-0.758675352013964,0.377501819589309,1,39,4.03899998072114,0.0514148375965202,-1.49856532250735,-0.0187853815205807,0.0907320663468003,FALSE
"KO","glutamine","Yellow (C8)",-0.161883700065089,0.32303152890781,1,39,0.251140305697609,0.619090260776764,-0.795013862595306,0.471246462465127,0.773862825970955,FALSE
"KO","isoleucine","Yellow (C8)",-0.941665212056586,0.363405844385109,1,39,6.7144313557021,0.0133858823383685,-1.65392757882277,-0.229402845290405,0.026771764676737,TRUE
"KO","LACTIC","Yellow (C8)",-2.71855934384732,0.37607418303612,1,39,52.2553299093514,1.04188892465819e-08,-3.45565119811344,-1.9814674895812,4.46523824853511e-08,TRUE
"KO","LC even AC total","Yellow (C8)",5.65076034339861,0.358428939090444,1,39,248.546495369113,1.63900133262805e-18,4.94825253176444,6.35326815503278,2.45850199894208e-17,TRUE
"KO","LC odd AC total","Yellow (C8)",3.11591619417749,0.370523605898008,1,39,70.719596304683,2.7136132242983e-10,2.38970327119549,3.8421291171595,1.35680661214915e-09,TRUE
"KO","leucine","Yellow (C8)",-0.910179689689753,0.340585606015552,1,39,7.14170161296688,0.0109358668761597,-1.57771521113298,-0.242644168246522,0.0234340004489137,TRUE
"KO","MALIC","Yellow (C8)",-4.49756771249676,0.39092479019252,1,39,132.363730152169,4.17802016855497e-14,-5.26376622193798,-3.73136920305555,2.50681210113298e-13,TRUE
"KO","MCAC total","Yellow (C8)",1.61448061582266,0.369724533186541,1,39,19.0681751097086,9.01263958628445e-05,0.889833846576154,2.33912738506916,0.000270379187588534,TRUE
"KO","METHYLSUCCINIC","Yellow (C8)",0.143433946753472,0.364751421657536,1,39,0.154635752061336,0.696285543433087,-0.571465703005081,0.858333596512025,0.803406396268946,FALSE
"KO","SUCCINIC-2","Yellow (C8)",-4.74252298255132,0.392134070012949,1,39,146.268138514236,9.03260236852408e-15,-5.51109163688781,-3.97395432821483,9.03260236852408e-14,TRUE
"KO","valine","Yellow (C8)",-0.179761252474753,0.410461351958456,1,39,0.191799569540874,0.663839178115016,-0.984250719358945,0.624728214409439,0.796607013738019,FALSE
