"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.224389430509243,0.322630340504713,-0.695500088919769,0.487040040518487
"genotypeKO",-0.256587814524964,0.447654817075571,-0.573182293002441,0.569811724742923
"chowYellow (C8)",0.531867997580179,0.408213929198246,1.30291486776259,0.200244593636003
"metabolitearginine",0.860837900462715,0.39298737742489,2.19049758316281,0.0289133856477381
"metaboliteCITRIC",0.477807666343213,0.402858146553188,1.18604444376087,0.236124417832293
"metaboliteFUMARIC",-0.156102871126156,0.401644824343189,-0.388658988402082,0.697681051095766
"metaboliteglutamine",0.778008399430003,0.392987377424891,1.97972872443899,0.0482394495811522
"metaboliteisoleucine",0.498581465788272,0.39298737742489,1.26869587785568,0.205094155184358
"metaboliteLACTIC",0.731398334260842,0.392987377424891,1.86112424030879,0.0632678352996342
"metaboliteLC even AC total",0.275033459553756,0.39298737742489,0.699853164129482,0.484319274192387
"metaboliteLC odd AC total",2.76608641871962,0.392987377424891,7.03861390369539,5.89667464382013e-12
"metaboliteleucine",-0.118023574537863,0.392987377424891,-0.300324084990286,0.764045118263092
"metaboliteMALIC",1.32148475819265,0.392987377424891,3.3626646404062,0.00082644769610609
"metaboliteMCAC total",0.308952626197443,0.392987377424891,0.786164248383501,0.432114835666486
"metaboliteMETHYLSUCCINIC",-1.84909948676204,0.392987377424891,-4.70523887784525,3.22281242446803e-06
"metaboliteSUCCINIC-2",-0.219459337570485,0.392987377424891,-0.558438642504309,0.576775509280435
"metabolitevaline",-1.25553559549749,0.39298737742489,-3.19484967615136,0.00148041509269456
"genotypeKO:chowYellow (C8)",-0.310129713585517,0.596897599345144,-0.519569376599537,0.606300274525533
"genotypeKO:metabolitearginine",0.207032526603041,0.548718798341351,0.377301683902305,0.706097109297036
"genotypeKO:metaboliteCITRIC",0.254850746262043,0.555830843946387,0.458504145708447,0.646774074296146
"genotypeKO:metaboliteFUMARIC",-0.375025661577278,0.554952075191681,-0.675780267057734,0.499468392514692
"genotypeKO:metaboliteglutamine",-1.04499486557638,0.548718798341351,-1.90442694643441,0.0573837600733711
"genotypeKO:metaboliteisoleucine",-0.379490531230382,0.548718798341351,-0.691593822514361,0.489488572192266
"genotypeKO:metaboliteLACTIC",-1.58873867476664,0.548718798341351,-2.89536039145922,0.00393995954948548
"genotypeKO:metaboliteLC even AC total",5.34548165756014,0.54871879834135,9.74175055368669,8.99242139666923e-21
"genotypeKO:metaboliteLC odd AC total",7.89956814688146,0.548718798341351,14.3963869485791,5.02064548710234e-40
"genotypeKO:metaboliteleucine",-0.0738024196154656,0.548718798341351,-0.134499528426132,0.893057513540254
"genotypeKO:metaboliteMALIC",-2.44796051151283,0.548718798341351,-4.4612295385404,9.91416085367399e-06
"genotypeKO:metaboliteMCAC total",1.56517266937142,0.548718798341351,2.85241306494798,0.00450449075161504
"genotypeKO:metaboliteMETHYLSUCCINIC",-0.863634575032158,0.548718798341351,-1.57391104085139,0.116091530856595
"genotypeKO:metaboliteSUCCINIC-2",-2.75138760927992,0.548718798341351,-5.0142032997534,7.22584329972934e-07
"genotypeKO:metabolitevaline",-0.267363665889696,0.54871879834135,-0.487250786191169,0.626277621523632
"chowYellow (C8):metabolitearginine",-1.1087711678869,0.453102754938828,-2.4470633996401,0.0147189915088144
"chowYellow (C8):metaboliteCITRIC",-0.481377503748764,0.521188410396166,-0.923615134463292,0.356097722441263
"chowYellow (C8):metaboliteFUMARIC",0.041875032869007,0.475603793222619,0.0880460447661028,0.929872600499843
"chowYellow (C8):metaboliteglutamine",-0.88445827893847,0.459911531351463,-1.92310524665356,0.0549904195226986
"chowYellow (C8):metaboliteisoleucine",-0.645504803353299,0.47625938606635,-1.35536395132246,0.175866166962079
"chowYellow (C8):metaboliteLACTIC",-1.0179170055694,0.452646120264647,-2.24881416187607,0.0249251372321326
"chowYellow (C8):metaboliteLC even AC total",-0.651900941497098,0.46368413730039,-1.40591598688824,0.160322075086798
"chowYellow (C8):metaboliteLC odd AC total",-3.0582665216998,0.486909233421039,-6.28097869537681,6.90924479537097e-10
"chowYellow (C8):metaboliteleucine",-0.0309265532332489,0.495373977762204,-0.0624307182483749,0.950242848597938
"chowYellow (C8):metaboliteMALIC",-1.32896611082782,0.464912747263632,-2.8585280112232,0.00441986072211252
"chowYellow (C8):metaboliteMCAC total",-0.557015237859405,0.510633166062094,-1.09083247011745,0.275831301297114
"chowYellow (C8):metaboliteMETHYLSUCCINIC",1.40541880110089,0.454189774464419,3.09434267373844,0.00207426947075959
"chowYellow (C8):metaboliteSUCCINIC-2",-0.15545270822659,0.465941288420738,-0.333631537040819,0.738786651019713
"chowYellow (C8):metabolitevaline",1.14491303675958,0.467500399092228,2.44900975268197,0.0146405803824731
"genotypeKO:chowYellow (C8):metabolitearginine",0.427637094231195,0.709227495070056,0.602961810143802,0.54678630493301
"genotypeKO:chowYellow (C8):metaboliteCITRIC",0.304092970311109,0.759167553298118,0.400561073757712,0.688901150853988
"genotypeKO:chowYellow (C8):metaboliteFUMARIC",0.19300330064828,0.718364007685585,0.268670616266112,0.788285398113019
"genotypeKO:chowYellow (C8):metaboliteglutamine",1.40905572865054,0.714293387255205,1.97265682952082,0.0490424696430282
"genotypeKO:chowYellow (C8):metaboliteisoleucine",0.061291655037751,0.722622423197617,0.0848183685838786,0.93243711007728
"genotypeKO:chowYellow (C8):metaboliteLACTIC",-0.666076899550659,0.715666830931569,-0.930708076387501,0.352418942788232
"genotypeKO:chowYellow (C8):metaboliteLC even AC total",0.851076947221208,0.705563687655751,1.20623688847838,0.228252423421084
"genotypeKO:chowYellow (C8):metaboliteLC odd AC total",-4.23577796340227,0.737265860717558,-5.74525173223093,1.53187448489158e-08
"genotypeKO:chowYellow (C8):metaboliteleucine",-0.209128275377268,0.730736578808774,-0.286188322087533,0.774843240135768
"genotypeKO:chowYellow (C8):metaboliteMALIC",-1.60263688243966,0.721610992168688,-2.22091528514995,0.0267692560163598
"genotypeKO:chowYellow (C8):metaboliteMCAC total",0.588530797678523,0.750877393993997,0.783790805777312,0.43350524863869
"genotypeKO:chowYellow (C8):metaboliteMETHYLSUCCINIC",1.57854350627989,0.71164642644743,2.21815700552317,0.0269578399893776
"genotypeKO:chowYellow (C8):metaboliteSUCCINIC-2",-1.39379436354038,0.722713924782343,-1.92855612123448,0.0543079101069056
"genotypeKO:chowYellow (C8):metabolitevaline",0.572223359745831,0.717597927448755,0.797415011746525,0.425559238933637
